"","groundwater"
"1","123Adriatic Sea-Greece-Black Sea Coast234"
"2","123Africa-Indian Ocean Coast234"
"3","123Africa-North Interior234"
"4","123Africa-North West Coast234"
"5","123Africa-Red Sea-Gulf of Aden Coast234"
"6","123Africa-West Coast234"
"7","123Amu Darya234"
"8","123Arabian Peninsula234"
"9","123Arabian Sea Coast234"
"10","123Arctic Ocean Islands234"
"11","123Arkansas White Red234"
"12","123Australia-East Coast234"
"13","123Australia-Interior234"
"14","123Australia-North Coast234"
"15","123Australia-West Coast234"
"16","123Baja California234"
"17","123Black Sea-South Coast234"
"18","123Bo Hai-Korean Bay-North Coast234"
"19","123California River234"
"20","123Caribbean234"
"21","123Caribbean Coast234"
"22","123Caspian Sea-East Coast234"
"23","123Caspian Sea-South West Coast234"
"24","123Caspian Sea Coast234"
"25","123Cauvery234"
"26","123Central Iran234"
"27","123Chao Phraya234"
"28","123China Coast234"
"29","123Congo234"
"30","123Dead Sea234"
"31","123Denmark-Germany Coast234"
"32","123Dniester234"
"33","123Douro234"
"34","123Eastern Jordan-Syria234"
"35","123Ebro234"
"36","123Elbe234"
"37","123Ems-Weser234"
"38","123England and Wales234"
"39","123Farahrud234"
"40","123France-South Coast234"
"41","123Ganges-Bramaputra234"
"42","123Gobi Interior234"
"43","123Godavari234"
"44","123Great234"
"45","123Guadalquivir234"
"46","123Guadiana234"
"47","123Gulf of Guinea234"
"48","123Hamun-i-Mashkel234"
"49","123Helmand234"
"50","123Huang He234"
"51","123India East Coast234"
"52","123India North East Coast234"
"53","123India South Coast234"
"54","123Indus234"
"55","123Italy-East Coast234"
"56","123Italy-West Coast234"
"57","123Japan234"
"58","123Krishna234"
"59","123La Plata234"
"60","123La Puna Region234"
"61","123Lake Balkash234"
"62","123Limpopo234"
"63","123Loire234"
"64","123Lower Colorado River234"
"65","123Lower Mississippi River234"
"66","123Madasgacar234"
"67","123Mahandi234"
"68","123Mahi234"
"69","123Mar Chiquita234"
"70","123Mediterranean Sea-East Coast234"
"71","123Mediterranean Sea Islands234"
"72","123Mediterranean South Coast234"
"73","123Mexico-Interior234"
"74","123Mexico-Northwest Coast234"
"75","123Mid Atlantic234"
"76","123Missouri River234"
"77","123Murray-Darling234"
"78","123Narmada234"
"79","123Negro234"
"80","123Nile234"
"81","123North and South Korea234"
"82","123North Argentina-South Atlantic Coast234"
"83","123North Brazil-South Atlantic Coast234"
"84","123North Chile-Pacific Coast234"
"85","123North Gulf234"
"86","123Northeast South America-South Atlantic Coast234"
"87","123Oder234"
"88","123Orange234"
"89","123Orinoco234"
"90","123Pacific and Arctic Coast234"
"91","123Pampas Region234"
"92","123Papua New Guinea Coast234"
"93","123Peninsula Malaysia234"
"94","123Pennar234"
"95","123Persian Gulf Coast234"
"96","123Peru-Pacific Coast234"
"97","123Philippines234"
"98","123Po234"
"99","123Poland Coast234"
"100","123Red Sea-East Coast234"
"101","123Rhine234"
"102","123Rio Balsas234"
"103","123Rio Grande River234"
"104","123Rio Lerma234"
"105","123Rio Verde234"
"106","123Sabarmati234"
"107","123Sao Francisco234"
"108","123Scheldt234"
"109","123Seine234"
"110","123Senegal234"
"111","123Sinai Peninsula234"
"112","123South Africa-South Coast234"
"113","123South Africa-West Coast234"
"114","123South America-Colorado234"
"115","123South Argentina-South Atlantic Coast234"
"116","123South Atlantic Gulf234"
"117","123Spain-South and East Coast234"
"118","123Sweden234"
"119","123Syr Darya234"
"120","123Tagus234"
"121","123Tapti234"
"122","123Tarim Interior234"
"123","123Tennessee River234"
"124","123Texas Gulf Coast234"
"125","123Tigris-Euphrates234"
"126","123Upper Colorado River234"
"127","123Volga234"
"128","123Volta234"
"129","123Yasai234"
"130","123Yucatan Peninsula234"
"131","123Ziya He-Interior234"
